modelos,preprocessamento,kfolds,acuracia
all-MiniLM-L6-v2,stopwords,5_folds,0.5949926362297496
paraphrase-multilingual-MiniLM-L12-v2,stopwords,10_folds,0.593519882179676
all-MiniLM-L6-v2,stopwords_lemmatization,5_folds,0.593519882179676
all-MiniLM-L6-v2,stopwords_lemmatization,10_folds,0.5920471281296024
all-MiniLM-L6-v2,raw,5_folds,0.5920471281296024
paraphrase-multilingual-MiniLM-L12-v2,stopwords,5_folds,0.5891016200294551
all-MiniLM-L6-v2,stopwords,10_folds,0.5891016200294551
all-MiniLM-L6-v2,clean_lemmatization,5_folds,0.5861561119293078
paraphrase-multilingual-MiniLM-L12-v2,stopwords_lemmatization,10_folds,0.5846833578792342
paraphrase-multilingual-MiniLM-L12-v2,clean_stopwords,10_folds,0.5846833578792342
paraphrase-multilingual-MiniLM-L12-v2,clean_stopwords,5_folds,0.5817378497790869
all-MiniLM-L6-v2,raw,10_folds,0.5817378497790869
all-MiniLM-L6-v2,clean_lemmatization,10_folds,0.5817378497790869
all-MiniLM-L6-v2,lemmatization,5_folds,0.5787923416789397
all-MiniLM-L6-v2,clean,10_folds,0.5787923416789397
paraphrase-multilingual-MiniLM-L12-v2,raw,5_folds,0.5773195876288659
paraphrase-multilingual-MiniLM-L12-v2,clean,10_folds,0.5773195876288659
all-MiniLM-L6-v2,clean,5_folds,0.5773195876288659
paraphrase-multilingual-MiniLM-L12-v2,lemmatization,5_folds,0.5758468335787923
all-MiniLM-L6-v2,lemmatization,10_folds,0.5758468335787923
paraphrase-multilingual-MiniLM-L12-v2,clean_lemmatization,10_folds,0.5743740795287187
paraphrase-multilingual-MiniLM-L12-v2,clean_stopwords_lemmatization,10_folds,0.572901325478645
paraphrase-multilingual-MiniLM-L12-v2,clean_lemmatization,5_folds,0.572901325478645
paraphrase-multilingual-MiniLM-L12-v2,clean_stopwords_lemmatization,5_folds,0.5699558173784978
paraphrase-multilingual-MiniLM-L12-v2,lemmatization,10_folds,0.5684830633284241
paraphrase-multilingual-MiniLM-L12-v2,clean,5_folds,0.5684830633284241
paraphrase-multilingual-MiniLM-L12-v2,stopwords_lemmatization,5_folds,0.5670103092783505
all-MiniLM-L6-v2,clean_stopwords_lemmatization,5_folds,0.5670103092783505
paraphrase-multilingual-MiniLM-L12-v2,raw,10_folds,0.5655375552282769
all-MiniLM-L6-v2,clean_stopwords,5_folds,0.5625920471281296
all-MiniLM-L6-v2,clean_stopwords_lemmatization,10_folds,0.5596465390279823
all-MiniLM-L6-v2,clean_stopwords,10_folds,0.5596465390279823
